business_id,business_name,business_address,recent_score,recent_risk,average_score,minimum_score,maximum_score
89324,August1Five,524 Van Ness Ave,88.0,Low Risk,81.33333333333333,76.0,88.0
89328,Halal Wings Plus,533 Jones St,96.0,Low Risk,87.81818181818181,84.0,96.0
89335,Elmira Rosticceria,154 McAllister St,79.0,Low Risk,82.23076923076923,79.0,94.0
89336,Miller's Rest,1085 Sutter St,89.0,High Risk,90.375,88.0,100.0
89344,Me and Tasty,3970 17th St B,94.0,Moderate Risk,88.375,85.0,94.0
89385,Finn Town Tavern,2251 Market St,90.0,Low Risk,90.0,90.0,90.0
89386,Eagle Cafe,Pier 39  Space A-201,90.0,Moderate Risk,88.5,87.0,90.0
89404,Burger King #6414,4780 Mission St,90.0,Low Risk,90.0,90.0,90.0
89416,Nobhill Pizza & Shawerma,1534 California St,98.0,Low Risk,96.0,94.0,98.0
89449,Burger King 4525,1701 Fillmore St,88.0,Low Risk,88.0,88.0,88.0
89453,Burger King #4668,1690 Valencia St.,81.0,Low Risk,86.14285714285714,81.0,90.0
89462,Mazzat,501 Fell St.,76.0,Moderate Risk,77.77777777777777,76.0,80.0
89475,Lovejoy's Tea Room,1351 Church St,92.0,Moderate Risk,92.0,92.0,92.0
89495,The Sarap Shop LLC,428 11th St,96.0,Low Risk,93.16666666666667,89.0,100.0
89497,RM 212,690 Sacramento St,77.0,High Risk,77.0,77.0,77.0
89511,Peaches Patties,331 Cortland Ave.,100.0,,100.0,100.0,100.0
89512,Peaches Patties,2948 Folsom St,100.0,High Risk,97.66666666666667,93.0,100.0
89515,One Waan Thai,2922 Diamond St,96.0,Moderate Risk,96.66666666666667,96.0,98.0
89535,Project juice,506 Castro St,98.0,Low Risk,78.25,72.0,98.0
89544,Seismic Coffee,298 Market St,90.0,Moderate Risk,88.5,87.0,90.0
89545,The Pub,900 North Point St Ste. H104,88.0,Moderate Risk,83.625,81.0,88.0
89559,Seismic Coffee,598 Market St,96.0,Low Risk,96.0,96.0,96.0
89560,Smitten Ice Cream,432 Octavia St #1a,96.0,Moderate Risk,98.0,96.0,100.0
89567,Glena's,632 20th St,100.0,,100.0,100.0,100.0
89569,Blue Bottle Coffee,2 South Park,88.0,Moderate Risk,90.5,88.0,98.0
89580,Upper Cut,425 2nd St,89.0,High Risk,89.0,89.0,89.0
89590,Korean Bobcha,428 11 St,91.0,High Risk,87.11111111111111,83.0,91.0
89594,Luke's Local Inc.,960 Cole St.,94.0,Moderate Risk,94.0,94.0,94.0
89598,Barry's Bootcamp,333 Bush St Ste. 101,100.0,,100.0,100.0,100.0
89599,La Boulange de San Francisco,222 Sutter St,85.0,High Risk,85.0,85.0,85.0
89640,The Bindery,1727 Haight St,94.0,Moderate Risk,94.0,94.0,94.0
89643,Milkbean,881 Post St,92.0,Moderate Risk,94.0,92.0,98.0
89648,Zaoh Restaurant,1555 Mission St,82.0,Moderate Risk,82.0,82.0,82.0
89652,Corks,4342 California St,98.0,Low Risk,98.0,98.0,98.0
89653,"Amami, LLC",430 Geary St,96.0,Moderate Risk,96.0,96.0,96.0
89663,Overtime,4134 Geary Blvd,92.0,Low Risk,92.0,92.0,92.0
89666,Native Baking Company,3861 24th St,100.0,,100.0,100.0,100.0
89678,Bonito Poke,2277 Shafter Ave,94.0,Moderate Risk,97.66666666666667,94.0,100.0
89682,The Organic Coup,1355 Market St,96.0,Low Risk,96.5,96.0,98.0
89685,CafeLambretta,101 Townsend St,96.0,Moderate Risk,96.0,96.0,96.0
89686,Big Fish Little Fish Poke,121 Spear St B09,82.0,Moderate Risk,84.5,82.0,100.0
89687,Mi Lindo Peru,3226 Mission St.,89.0,High Risk,88.375,88.0,89.0
89694,Homegrown Sustainable Sandwiches,222 Battery St,92.0,Moderate Risk,94.66666666666667,92.0,100.0
89696,Eurest Dining at First Republic Bank,1 Front St,96.0,Moderate Risk,96.0,96.0,96.0
89701,Thomas Edison Charter Academy,3531 22nd St,100.0,High Risk,98.6,93.0,100.0
89710,Manila Bowl,1355 Market St Unit #10,87.0,High Risk,90.625,87.0,94.0
89722,Country Grill (#3),333 Brannan St,92.0,Low Risk,92.0,92.0,92.0
89723,Passione Pizza,Off the Grid,91.0,Low Risk,91.0,91.0,91.0
89728,Frena,132 6th St,89.0,Moderate Risk,90.0,89.0,91.0
89733,Hawker Fare,680 Valencia St.,81.0,Moderate Risk,78.0,75.0,81.0
